"740","Suriname","Suriname, Republic of"
"744","Svalbard & Jan Mayen Islands","Svalbard & Jan Mayen Islands"
"748","Swaziland","Swaziland, Kingdom of"
"752","Sweden","Sweden, Kingdom of"
"756","Switzerland","Switzerland, Swiss Confederation"
"760","Syria","Syrian Arab Republic"
"158","Taiwan","Taiwan"
"762","Tajikistan","Tajikistan, Republic of"
"834","Tanzania, United Republic Of","Tanzania, United Republic of"
"764","Thailand","Thailand, Kingdom of"
"626","Timor-Leste","Timor-Leste, Democratic Republic of"
"555","Timor-Leste","East Timor  "
"768","Togo","Togo, Togolese Republic"
"772","Tokelau","Tokelau"
"776","Tonga","Tonga, Kingdom of"
"780","Trinidad,Tobago","Trinidad and Tobago, Republic of"
"788","Tunisia","Tunisia, Tunisian Republic"
"792","Turkey","Turkey, Republic of"
"795","Turkmenistan","Turkmenistan"
"796","Turks and Caicos Islands","Turks and Caicos Islands"
"798","Tuvalu","Tuvalu"
"531","UC","UC"
"800","Uganda","Uganda, Republic of"
"804","Ukraine","Ukraine"
"784","United Arab Emirates","United Arab Emirates"
"826","United Kingdom","United Kingdom of Great Britain & Northern Ireland"
"581","United States Minor Outlying Islands","United States Minor Outlying Islands"
"850","United States Virgin Islands","United States Virgin Islands"
"858","Uruguay","Uruguay, Eastern Republic of"
"840","Usa","United States of America"
"860","Uzbekistan","Uzbekistan, Republic of"
"548","Vanuatu","Vanuatu, Republic of"
"862","Venezuela","Venezuela, Bolivarian Republic of"
"704","Vietnam","Vietnam, Socialist Republic of"
"876","Wallis and Futuna","Wallis and Futuna"
"732","Western Sahara","Western Sahara"
"887","Yemen","Yemen"
"777","Zaire","Zaire"
"894","Zambia","Zambia, Republic of"
"716","Zimbabwe","Zimbabwe, Republic of"
"248","Åland Islands","Åland Islands"
